"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:00 GMT 2022","8","","Тесты проверки создания контроллеров","","com.sbt.pprb.qa.test_task.VendingMachineApplicationTests","applicationInfoControllerLoads","applicationInfoControllerLoads()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","29","","Тесты сервиса UserService","","com.sbt.pprb.qa.test_task.service.UserServiceTest","canGetUserByUsername","canGetUserByUsername()",""
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","133","","Тесты сервиса BeverageService","","com.sbt.pprb.qa.test_task.service.BeverageServiceTest","canGetBeverages","canGetBeverages()",""
"passed","Sun Mar 20 22:31:55 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","148","","Тесты репозитория OrderBeveragesRepository","","com.sbt.pprb.qa.test_task.repository.OrderBeveragesRepositoryTest","itShouldFindBeveragesByExistingOrderIdUnsorted","itShouldFindBeveragesByExistingOrderIdUnsorted()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canSubmitOrder","canSubmitOrder()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","8","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldGetCorrectNextOrderNumberByOne","itShouldGetCorrectNextOrderNumberByOne()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canTakeLastBeverage","canTakeLastBeverage()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","1","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canRemoveBeverage","canRemoveBeverage()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","63","","Тесты репозитория OrderBeveragesRepository","","com.sbt.pprb.qa.test_task.repository.OrderBeveragesRepositoryTest","itShouldNotFindBeveragesByNotExistingOrderIdSortedByCreationDateDesc","itShouldNotFindBeveragesByNotExistingOrderIdSortedByCreationDateDesc()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canGetFinishedOrders","canGetFinishedOrders()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canAddBalanceAndChangeAmountOf10To500","canAddBalanceAndChangeAmountOf10To500()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","addBeverageThrowsBeverageCantBeSelectedException","addBeverageThrowsBeverageCantBeSelectedException()",""
"passed","Sun Mar 20 22:31:55 GMT 2022","Sun Mar 20 22:31:55 GMT 2022","67","","Тесты репозитория BeverageVolumesRepository","","com.sbt.pprb.qa.test_task.repository.BeverageVolumesRepositoryTest","itShouldFindBeverageVolumesByBeverage","itShouldFindBeverageVolumesByBeverage()",""
"passed","Sun Mar 20 22:31:55 GMT 2022","Sun Mar 20 22:31:55 GMT 2022","35","","Тесты репозитория BeverageVolumesRepository","","com.sbt.pprb.qa.test_task.repository.BeverageVolumesRepositoryTest","itShouldUpdateVolumeAndModificationDate","itShouldUpdateVolumeAndModificationDate()",""
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:00 GMT 2022","7","","Тесты проверки создания контроллеров","","com.sbt.pprb.qa.test_task.VendingMachineApplicationTests","registerControllerLoads","registerControllerLoads()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","125","","Тесты сервиса UserService","","com.sbt.pprb.qa.test_task.service.UserServiceTest","canCreateUser","canCreateUser()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","136","","Тесты сервиса UserService","","com.sbt.pprb.qa.test_task.service.UserServiceTest","willThrowWhenUsernameIsTaken","willThrowWhenUsernameIsTaken()",""
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:00 GMT 2022","6","","Тесты проверки создания контроллеров","","com.sbt.pprb.qa.test_task.VendingMachineApplicationTests","orderControllerLoads","orderControllerLoads()",""
"passed","Sun Mar 20 22:31:55 GMT 2022","Sun Mar 20 22:31:55 GMT 2022","226","","Тесты репозитория BeveragesRepository","","com.sbt.pprb.qa.test_task.repository.BeveragesRepositoryTest","itShouldUpdateBeverageAvailableVolume","itShouldUpdateBeverageAvailableVolume()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","38","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldFindOrdersByOwnerAndNotActiveAndUnsorted","itShouldFindOrdersByOwnerAndNotActiveAndUnsorted()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canSelectIce","canSelectIce()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса BeverageService","","com.sbt.pprb.qa.test_task.service.BeverageServiceTest","canGetVolumes","canGetVolumes()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","19","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldDeleteActiveOrderByOwner","itShouldDeleteActiveOrderByOwner()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","9","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldFindOrderByOwnerAndActive","itShouldFindOrderByOwnerAndActive()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","85","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldNotDeleteNotActiveOrdersByOwner","itShouldNotDeleteNotActiveOrdersByOwner()",""
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:00 GMT 2022","2","","Тесты проверки создания контроллеров","","com.sbt.pprb.qa.test_task.VendingMachineApplicationTests","homeControllerLoads","homeControllerLoads()",""
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:00 GMT 2022","2","","Тесты сервиса ApplicationInfoService","","com.sbt.pprb.qa.test_task.service.ApplicationInfoServiceTest","canGetRestConfig","canGetRestConfig()",""
"passed","Sun Mar 20 22:32:00 GMT 2022","Sun Mar 20 22:32:00 GMT 2022","4","","Тесты проверки создания контроллеров","","com.sbt.pprb.qa.test_task.VendingMachineApplicationTests","beverageControllerLoads","beverageControllerLoads()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canAddMoreBeverage","canAddMoreBeverage()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","1","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","resetBalanceThrowsEntityNotFoundException_order","resetBalanceThrowsEntityNotFoundException_order()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","1","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","processBeverageThrowsIllegalArgumentException","processBeverageThrowsIllegalArgumentException()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","addBeverageThrowsEntityNotFoundException_beverageVolume","addBeverageThrowsEntityNotFoundException_beverageVolume()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","3","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canTakeBeverage","canTakeBeverage()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","1","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canProcessBeverage","canProcessBeverage()",""
"passed","Sun Mar 20 22:31:55 GMT 2022","Sun Mar 20 22:31:55 GMT 2022","29","","Тесты репозитория BeverageVolumesRepository","","com.sbt.pprb.qa.test_task.repository.BeverageVolumesRepositoryTest","itShouldUpdatePriceAndVolumeAndModificationDate","itShouldUpdatePriceAndVolumeAndModificationDate()",""
"passed","Sun Mar 20 22:31:55 GMT 2022","Sun Mar 20 22:31:55 GMT 2022","37","","Тесты репозитория BeverageVolumesRepository","","com.sbt.pprb.qa.test_task.repository.BeverageVolumesRepositoryTest","itShouldUpdatePriceAndModificationDate","itShouldUpdatePriceAndModificationDate()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","54","","Тесты репозитория OrdersRepository","","com.sbt.pprb.qa.test_task.repository.OrdersRepositoryTest","itShouldFindOrdersByOwnerAndNotActiveAndSortedByCreatedAsc","itShouldFindOrdersByOwnerAndNotActiveAndSortedByCreatedAsc()",""
"passed","Sun Mar 20 22:31:56 GMT 2022","Sun Mar 20 22:31:56 GMT 2022","13","","Тесты репозитория UsersRepository","","com.sbt.pprb.qa.test_task.repository.UsersRepositoryTest","itShouldFindExistingUserByUsername","itShouldFindExistingUserByUsername()",""
"passed","Sun Mar 20 22:32:01 GMT 2022","Sun Mar 20 22:32:01 GMT 2022","2","","Тесты сервиса OrderService","","com.sbt.pprb.qa.test_task.service.OrderServiceTest","canAddNewBeverage","canAddNewBeverage()",""
